CONTRACT_ID|PLAN_ID|RXCUI|DISEASE
H5050|004|1482814|ARTHRITIS, PSORIATIC
H5050|004|1482814|COLITIS, ULCERATIVE
H5050|004|1482814|SPONDYLITIS, ANKYLOSING
H5050|004|1653144|ARTHRITIS, PSORIATIC
H5050|004|1653144|COLITIS, ULCERATIVE
H5050|004|1653144|SPONDYLITIS, ANKYLOSING
H5050|004|1653166|ARTHRITIS, PSORIATIC
H5050|004|1653166|COLITIS, ULCERATIVE
H5050|004|1653166|SPONDYLITIS, ANKYLOSING
H5050|004|1745108|ARTHRITIS, PSORIATIC
H5050|004|1745108|SPONDYLARTHRITIS
H5050|004|1745108|SPONDYLITIS, ANKYLOSING
H5050|004|1745114|ARTHRITIS, PSORIATIC
H5050|004|1745114|SPONDYLARTHRITIS
H5050|004|1745114|SPONDYLITIS, ANKYLOSING
H5050|004|727714|CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES
H5050|004|727714|HEREDITARY AUTOINFLAMMATORY DISEASES
H5050|004|795085|ARTHRITIS, PSORIATIC
H5050|004|795085|ARTHRITIS, RHEUMATOID
H5050|004|795085|CROHN DISEASE
H5050|004|795085|SPONDYLARTHRITIS
H5050|004|795085|SPONDYLITIS, ANKYLOSING
H5050|004|848164|ARTHRITIS, PSORIATIC
H5050|004|848164|COLITIS, ULCERATIVE
H5050|004|848164|SPONDYLITIS, ANKYLOSING
H5050|004|849599|ARTHRITIS, PSORIATIC
H5050|004|849599|ARTHRITIS, RHEUMATOID
H5050|004|849599|CROHN DISEASE
H5050|004|849599|SPONDYLARTHRITIS
H5050|004|849599|SPONDYLITIS, ANKYLOSING
H5050|009|1482814|ARTHRITIS, PSORIATIC
H5050|009|1482814|COLITIS, ULCERATIVE
H5050|009|1482814|SPONDYLITIS, ANKYLOSING
H5050|009|1653144|ARTHRITIS, PSORIATIC
H5050|009|1653144|COLITIS, ULCERATIVE
H5050|009|1653144|SPONDYLITIS, ANKYLOSING
H5050|009|1653166|ARTHRITIS, PSORIATIC
H5050|009|1653166|COLITIS, ULCERATIVE
H5050|009|1653166|SPONDYLITIS, ANKYLOSING
H5050|009|1745108|ARTHRITIS, PSORIATIC
H5050|009|1745108|SPONDYLARTHRITIS
H5050|009|1745108|SPONDYLITIS, ANKYLOSING
H5050|009|1745114|ARTHRITIS, PSORIATIC
H5050|009|1745114|SPONDYLARTHRITIS
H5050|009|1745114|SPONDYLITIS, ANKYLOSING
H5050|009|727714|CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES
H5050|009|727714|HEREDITARY AUTOINFLAMMATORY DISEASES
H5050|009|795085|ARTHRITIS, PSORIATIC
H5050|009|795085|ARTHRITIS, RHEUMATOID
H5050|009|795085|CROHN DISEASE
H5050|009|795085|SPONDYLARTHRITIS
H5050|009|795085|SPONDYLITIS, ANKYLOSING
H5050|009|848164|ARTHRITIS, PSORIATIC
H5050|009|848164|COLITIS, ULCERATIVE
H5050|009|848164|SPONDYLITIS, ANKYLOSING
H5050|009|849599|ARTHRITIS, PSORIATIC
H5050|009|849599|ARTHRITIS, RHEUMATOID
H5050|009|849599|CROHN DISEASE
H5050|009|849599|SPONDYLARTHRITIS
H5050|009|849599|SPONDYLITIS, ANKYLOSING
H5050|013|1482814|ARTHRITIS, PSORIATIC
H5050|013|1482814|COLITIS, ULCERATIVE
H5050|013|1482814|SPONDYLITIS, ANKYLOSING
H5050|013|1653144|ARTHRITIS, PSORIATIC
H5050|013|1653144|COLITIS, ULCERATIVE
H5050|013|1653144|SPONDYLITIS, ANKYLOSING
H5050|013|1653166|ARTHRITIS, PSORIATIC
H5050|013|1653166|COLITIS, ULCERATIVE
H5050|013|1653166|SPONDYLITIS, ANKYLOSING
H5050|013|1745108|ARTHRITIS, PSORIATIC
H5050|013|1745108|SPONDYLARTHRITIS
H5050|013|1745108|SPONDYLITIS, ANKYLOSING
H5050|013|1745114|ARTHRITIS, PSORIATIC
H5050|013|1745114|SPONDYLARTHRITIS
H5050|013|1745114|SPONDYLITIS, ANKYLOSING
H5050|013|727714|CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES
H5050|013|727714|HEREDITARY AUTOINFLAMMATORY DISEASES
H5050|013|795085|ARTHRITIS, PSORIATIC
H5050|013|795085|ARTHRITIS, RHEUMATOID
H5050|013|795085|CROHN DISEASE
H5050|013|795085|SPONDYLARTHRITIS
H5050|013|795085|SPONDYLITIS, ANKYLOSING
H5050|013|848164|ARTHRITIS, PSORIATIC
H5050|013|848164|COLITIS, ULCERATIVE
H5050|013|848164|SPONDYLITIS, ANKYLOSING
H5050|013|849599|ARTHRITIS, PSORIATIC
H5050|013|849599|ARTHRITIS, RHEUMATOID
H5050|013|849599|CROHN DISEASE
H5050|013|849599|SPONDYLARTHRITIS
H5050|013|849599|SPONDYLITIS, ANKYLOSING
H5050|017|1482814|ARTHRITIS, PSORIATIC
H5050|017|1482814|COLITIS, ULCERATIVE
H5050|017|1482814|SPONDYLITIS, ANKYLOSING
H5050|017|1653144|ARTHRITIS, PSORIATIC
H5050|017|1653144|COLITIS, ULCERATIVE
H5050|017|1653144|SPONDYLITIS, ANKYLOSING
H5050|017|1653166|ARTHRITIS, PSORIATIC
H5050|017|1653166|COLITIS, ULCERATIVE
H5050|017|1653166|SPONDYLITIS, ANKYLOSING
H5050|017|1745108|ARTHRITIS, PSORIATIC
H5050|017|1745108|SPONDYLARTHRITIS
H5050|017|1745108|SPONDYLITIS, ANKYLOSING
H5050|017|1745114|ARTHRITIS, PSORIATIC
H5050|017|1745114|SPONDYLARTHRITIS
H5050|017|1745114|SPONDYLITIS, ANKYLOSING
H5050|017|727714|CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES
H5050|017|727714|HEREDITARY AUTOINFLAMMATORY DISEASES
H5050|017|795085|ARTHRITIS, PSORIATIC
H5050|017|795085|ARTHRITIS, RHEUMATOID
H5050|017|795085|CROHN DISEASE
H5050|017|795085|SPONDYLARTHRITIS
H5050|017|795085|SPONDYLITIS, ANKYLOSING
H5050|017|848164|ARTHRITIS, PSORIATIC
H5050|017|848164|COLITIS, ULCERATIVE
H5050|017|848164|SPONDYLITIS, ANKYLOSING
H5050|017|849599|ARTHRITIS, PSORIATIC
H5050|017|849599|ARTHRITIS, RHEUMATOID
H5050|017|849599|CROHN DISEASE
H5050|017|849599|SPONDYLARTHRITIS
H5050|017|849599|SPONDYLITIS, ANKYLOSING
H5050|019|1482814|ARTHRITIS, PSORIATIC
H5050|019|1482814|COLITIS, ULCERATIVE
H5050|019|1482814|SPONDYLITIS, ANKYLOSING
H5050|019|1653144|ARTHRITIS, PSORIATIC
H5050|019|1653144|COLITIS, ULCERATIVE
H5050|019|1653144|SPONDYLITIS, ANKYLOSING
H5050|019|1653166|ARTHRITIS, PSORIATIC
H5050|019|1653166|COLITIS, ULCERATIVE
H5050|019|1653166|SPONDYLITIS, ANKYLOSING
H5050|019|1745108|ARTHRITIS, PSORIATIC
H5050|019|1745108|SPONDYLARTHRITIS
H5050|019|1745108|SPONDYLITIS, ANKYLOSING
H5050|019|1745114|ARTHRITIS, PSORIATIC
H5050|019|1745114|SPONDYLARTHRITIS
H5050|019|1745114|SPONDYLITIS, ANKYLOSING
H5050|019|727714|CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES
H5050|019|727714|HEREDITARY AUTOINFLAMMATORY DISEASES
H5050|019|795085|ARTHRITIS, PSORIATIC
H5050|019|795085|ARTHRITIS, RHEUMATOID
H5050|019|795085|CROHN DISEASE
H5050|019|795085|SPONDYLARTHRITIS
H5050|019|795085|SPONDYLITIS, ANKYLOSING
H5050|019|848164|ARTHRITIS, PSORIATIC
H5050|019|848164|COLITIS, ULCERATIVE
H5050|019|848164|SPONDYLITIS, ANKYLOSING
H5050|019|849599|ARTHRITIS, PSORIATIC
H5050|019|849599|ARTHRITIS, RHEUMATOID
H5050|019|849599|CROHN DISEASE
H5050|019|849599|SPONDYLARTHRITIS
H5050|019|849599|SPONDYLITIS, ANKYLOSING
H5050|021|1482814|ARTHRITIS, PSORIATIC
H5050|021|1482814|COLITIS, ULCERATIVE
H5050|021|1482814|SPONDYLITIS, ANKYLOSING
H5050|021|1653144|ARTHRITIS, PSORIATIC
H5050|021|1653144|COLITIS, ULCERATIVE
H5050|021|1653144|SPONDYLITIS, ANKYLOSING
H5050|021|1653166|ARTHRITIS, PSORIATIC
H5050|021|1653166|COLITIS, ULCERATIVE
H5050|021|1653166|SPONDYLITIS, ANKYLOSING
H5050|021|1745108|ARTHRITIS, PSORIATIC
H5050|021|1745108|SPONDYLARTHRITIS
H5050|021|1745108|SPONDYLITIS, ANKYLOSING
H5050|021|1745114|ARTHRITIS, PSORIATIC
H5050|021|1745114|SPONDYLARTHRITIS
H5050|021|1745114|SPONDYLITIS, ANKYLOSING
H5050|021|727714|CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES
H5050|021|727714|HEREDITARY AUTOINFLAMMATORY DISEASES
H5050|021|795085|ARTHRITIS, PSORIATIC
H5050|021|795085|ARTHRITIS, RHEUMATOID
H5050|021|795085|CROHN DISEASE
H5050|021|795085|SPONDYLARTHRITIS
H5050|021|795085|SPONDYLITIS, ANKYLOSING
H5050|021|848164|ARTHRITIS, PSORIATIC
H5050|021|848164|COLITIS, ULCERATIVE
H5050|021|848164|SPONDYLITIS, ANKYLOSING
H5050|021|849599|ARTHRITIS, PSORIATIC
H5050|021|849599|ARTHRITIS, RHEUMATOID
H5050|021|849599|CROHN DISEASE
H5050|021|849599|SPONDYLARTHRITIS
H5050|021|849599|SPONDYLITIS, ANKYLOSING
H5050|022|1482814|ARTHRITIS, PSORIATIC
H5050|022|1482814|COLITIS, ULCERATIVE
H5050|022|1482814|SPONDYLITIS, ANKYLOSING
H5050|022|1653144|ARTHRITIS, PSORIATIC
H5050|022|1653144|COLITIS, ULCERATIVE
H5050|022|1653144|SPONDYLITIS, ANKYLOSING
H5050|022|1653166|ARTHRITIS, PSORIATIC
H5050|022|1653166|COLITIS, ULCERATIVE
H5050|022|1653166|SPONDYLITIS, ANKYLOSING
H5050|022|1745108|ARTHRITIS, PSORIATIC
H5050|022|1745108|SPONDYLARTHRITIS
H5050|022|1745108|SPONDYLITIS, ANKYLOSING
H5050|022|1745114|ARTHRITIS, PSORIATIC
H5050|022|1745114|SPONDYLARTHRITIS
H5050|022|1745114|SPONDYLITIS, ANKYLOSING
H5050|022|727714|CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES
H5050|022|727714|HEREDITARY AUTOINFLAMMATORY DISEASES
H5050|022|795085|ARTHRITIS, PSORIATIC
H5050|022|795085|ARTHRITIS, RHEUMATOID
H5050|022|795085|CROHN DISEASE
H5050|022|795085|SPONDYLARTHRITIS
H5050|022|795085|SPONDYLITIS, ANKYLOSING
H5050|022|848164|ARTHRITIS, PSORIATIC
H5050|022|848164|COLITIS, ULCERATIVE
H5050|022|848164|SPONDYLITIS, ANKYLOSING
H5050|022|849599|ARTHRITIS, PSORIATIC
H5050|022|849599|ARTHRITIS, RHEUMATOID
H5050|022|849599|CROHN DISEASE
H5050|022|849599|SPONDYLARTHRITIS
H5050|022|849599|SPONDYLITIS, ANKYLOSING
H5050|023|1482814|ARTHRITIS, PSORIATIC
H5050|023|1482814|COLITIS, ULCERATIVE
H5050|023|1482814|SPONDYLITIS, ANKYLOSING
H5050|023|1653144|ARTHRITIS, PSORIATIC
H5050|023|1653144|COLITIS, ULCERATIVE
H5050|023|1653144|SPONDYLITIS, ANKYLOSING
H5050|023|1653166|ARTHRITIS, PSORIATIC
H5050|023|1653166|COLITIS, ULCERATIVE
H5050|023|1653166|SPONDYLITIS, ANKYLOSING
H5050|023|1745108|ARTHRITIS, PSORIATIC
H5050|023|1745108|SPONDYLARTHRITIS
H5050|023|1745108|SPONDYLITIS, ANKYLOSING
H5050|023|1745114|ARTHRITIS, PSORIATIC
H5050|023|1745114|SPONDYLARTHRITIS
H5050|023|1745114|SPONDYLITIS, ANKYLOSING
H5050|023|727714|CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES
H5050|023|727714|HEREDITARY AUTOINFLAMMATORY DISEASES
H5050|023|795085|ARTHRITIS, PSORIATIC
