CONTRACT_ID|PLAN_ID|RXCUI|TIER|QUANTITY_LIMIT_YN|QUANTITY_LIMIT_AMOUNT|QUANTITY_LIMIT_DAYS|PRIOR_AUTH_YN|STEP_THERAPY_YN|CAPPED_BENEFIT_YN|GAP_COV
H0028|014|1551474|2|1|120|30|Y|N|N|Y
H0028|014|312950|1|1|6|30|N|N|N|Y
H0028|014|314229|1|1|6|30|N|N|N|Y
H0028|014|314228|1|1|6|30|N|N|N|Y
H0028|016|1551474|2|1|120|30|Y|N|N|N
H0028|016|312950|1|1|6|30|N|N|N|N
H0028|016|314229|1|1|6|30|N|N|N|N
H0028|016|314228|1|1|6|30|N|N|N|N
H0028|017|1551474|2|1|120|30|Y|N|N|N
H0028|017|312950|1|1|6|30|N|N|N|N
H0028|017|314229|1|1|6|30|N|N|N|N
H0028|017|314228|1|1|6|30|N|N|N|N
H0028|019|1551474|2|1|120|30|Y|N|N|Y
H0028|019|312950|1|1|6|30|N|N|N|Y
H0028|019|314229|1|1|6|30|N|N|N|Y
H0028|019|314228|1|1|6|30|N|N|N|Y
H0028|021|1551474|2|1|120|30|Y|N|N|N
H0028|021|312950|1|1|6|30|N|N|N|N
H0028|021|314229|1|1|6|30|N|N|N|N
H0028|021|314228|1|1|6|30|N|N|N|N
H0028|024|1551474|2|1|120|30|Y|N|N|Y
H0028|024|312950|1|1|6|30|N|N|N|Y
H0028|024|314229|1|1|6|30|N|N|N|Y
H0028|024|314228|1|1|6|30|N|N|N|Y
H0028|025|1551474|2|1|120|30|Y|N|N|Y
H0028|025|312950|1|1|6|30|N|N|N|Y
H0028|025|314229|1|1|6|30|N|N|N|Y
H0028|025|314228|1|1|6|30|N|N|N|Y
H0028|027|1551474|2|1|120|30|Y|N|N|N
H0028|027|312950|1|1|6|30|N|N|N|N
H0028|027|314229|1|1|6|30|N|N|N|N
H0028|027|314228|1|1|6|30|N|N|N|N
H0028|028|1551474|2|1|120|30|Y|N|N|N
H0028|028|312950|1|1|6|30|N|N|N|N
H0028|028|314229|1|1|6|30|N|N|N|N
H0028|028|314228|1|1|6|30|N|N|N|N
H0028|029|1551474|2|1|120|30|Y|N|N|Y
H0028|029|312950|1|1|6|30|N|N|N|Y
H0028|029|314229|1|1|6|30|N|N|N|Y
H0028|029|314228|1|1|6|30|N|N|N|Y
H0028|030|1551474|2|1|120|30|Y|N|N|Y
H0028|030|312950|1|1|6|30|N|N|N|Y
H0028|030|314229|1|1|6|30|N|N|N|Y
H0028|030|314228|1|1|6|30|N|N|N|Y
H0028|046|1551474|2|1|120|30|Y|N|N|Y
H0028|046|312950|1|1|6|30|N|N|N|Y
H0028|046|314229|1|1|6|30|N|N|N|Y
H0028|046|314228|1|1|6|30|N|N|N|Y
H0028|047|1551474|2|1|120|30|Y|N|N|N
H0028|047|312950|1|1|6|30|N|N|N|N
H0028|047|314229|1|1|6|30|N|N|N|N
H0028|047|314228|1|1|6|30|N|N|N|N
H0028|048|1551474|2|1|120|30|Y|N|N|Y
H0028|048|312950|1|1|6|30|N|N|N|Y
H0028|048|314229|1|1|6|30|N|N|N|Y
H0028|048|314228|1|1|6|30|N|N|N|Y
H0028|050|1551474|2|1|120|30|Y|N|N|Y
H0028|050|312950|1|1|6|30|N|N|N|Y
H0028|050|314229|1|1|6|30|N|N|N|Y
H0028|050|314228|1|1|6|30|N|N|N|Y
