COUNTY_CODE|STATENAME|COUNTY|MA_REGION_CODE|MA_REGION|PDP_REGION_CODE|PDP_REGION
01000|Alabama|Autauga|10|Alabama and Tennessee|12|Alabama, Tennessee
01010|Alabama|Baldwin|10|Alabama and Tennessee|12|Alabama, Tennessee
01020|Alabama|Barbour|10|Alabama and Tennessee|12|Alabama, Tennessee
01030|Alabama|Bibb|10|Alabama and Tennessee|12|Alabama, Tennessee
01040|Alabama|Blount|10|Alabama and Tennessee|12|Alabama, Tennessee
01050|Alabama|Bullock|10|Alabama and Tennessee|12|Alabama, Tennessee
01060|Alabama|Butler|10|Alabama and Tennessee|12|Alabama, Tennessee
01070|Alabama|Calhoun|10|Alabama and Tennessee|12|Alabama, Tennessee
01080|Alabama|Chambers|10|Alabama and Tennessee|12|Alabama, Tennessee
01090|Alabama|Cherokee|10|Alabama and Tennessee|12|Alabama, Tennessee
01100|Alabama|Chilton|10|Alabama and Tennessee|12|Alabama, Tennessee
01110|Alabama|Choctaw|10|Alabama and Tennessee|12|Alabama, Tennessee
01120|Alabama|Clarke|10|Alabama and Tennessee|12|Alabama, Tennessee
01130|Alabama|Clay|10|Alabama and Tennessee|12|Alabama, Tennessee
01140|Alabama|Cleburne|10|Alabama and Tennessee|12|Alabama, Tennessee
01150|Alabama|Coffee|10|Alabama and Tennessee|12|Alabama, Tennessee
01160|Alabama|Colbert|10|Alabama and Tennessee|12|Alabama, Tennessee
01170|Alabama|Conecuh|10|Alabama and Tennessee|12|Alabama, Tennessee
01180|Alabama|Coosa|10|Alabama and Tennessee|12|Alabama, Tennessee
01190|Alabama|Covington|10|Alabama and Tennessee|12|Alabama, Tennessee
01200|Alabama|Crenshaw|10|Alabama and Tennessee|12|Alabama, Tennessee
01210|Alabama|Cullman|10|Alabama and Tennessee|12|Alabama, Tennessee
01220|Alabama|Dale|10|Alabama and Tennessee|12|Alabama, Tennessee
01230|Alabama|Dallas|10|Alabama and Tennessee|12|Alabama, Tennessee
01240|Alabama|DeKalb|10|Alabama and Tennessee|12|Alabama, Tennessee
01250|Alabama|Elmore|10|Alabama and Tennessee|12|Alabama, Tennessee
01260|Alabama|Escambia|10|Alabama and Tennessee|12|Alabama, Tennessee
01270|Alabama|Etowah|10|Alabama and Tennessee|12|Alabama, Tennessee
01280|Alabama|Fayette|10|Alabama and Tennessee|12|Alabama, Tennessee
01290|Alabama|Franklin|10|Alabama and Tennessee|12|Alabama, Tennessee
01300|Alabama|Geneva|10|Alabama and Tennessee|12|Alabama, Tennessee
01310|Alabama|Greene|10|Alabama and Tennessee|12|Alabama, Tennessee
01320|Alabama|Hale|10|Alabama and Tennessee|12|Alabama, Tennessee
01330|Alabama|Henry|10|Alabama and Tennessee|12|Alabama, Tennessee
01340|Alabama|Houston|10|Alabama and Tennessee|12|Alabama, Tennessee
01350|Alabama|Jackson|10|Alabama and Tennessee|12|Alabama, Tennessee
01360|Alabama|Jefferson|10|Alabama and Tennessee|12|Alabama, Tennessee
01370|Alabama|Lamar|10|Alabama and Tennessee|12|Alabama, Tennessee
01380|Alabama|Lauderdale|10|Alabama and Tennessee|12|Alabama, Tennessee
01390|Alabama|Lawrence|10|Alabama and Tennessee|12|Alabama, Tennessee
01400|Alabama|Lee|10|Alabama and Tennessee|12|Alabama, Tennessee
01410|Alabama|Limestone|10|Alabama and Tennessee|12|Alabama, Tennessee
01420|Alabama|Lowndes|10|Alabama and Tennessee|12|Alabama, Tennessee
01430|Alabama|Macon|10|Alabama and Tennessee|12|Alabama, Tennessee
01440|Alabama|Madison|10|Alabama and Tennessee|12|Alabama, Tennessee
01450|Alabama|Marengo|10|Alabama and Tennessee|12|Alabama, Tennessee
01460|Alabama|Marion|10|Alabama and Tennessee|12|Alabama, Tennessee
01470|Alabama|Marshall|10|Alabama and Tennessee|12|Alabama, Tennessee
01480|Alabama|Mobile|10|Alabama and Tennessee|12|Alabama, Tennessee
01490|Alabama|Monroe|10|Alabama and Tennessee|12|Alabama, Tennessee
01500|Alabama|Montgomery|10|Alabama and Tennessee|12|Alabama, Tennessee
01510|Alabama|Morgan|10|Alabama and Tennessee|12|Alabama, Tennessee
01520|Alabama|Perry|10|Alabama and Tennessee|12|Alabama, Tennessee
01530|Alabama|Pickens|10|Alabama and Tennessee|12|Alabama, Tennessee
01540|Alabama|Pike|10|Alabama and Tennessee|12|Alabama, Tennessee
01550|Alabama|Randolph|10|Alabama and Tennessee|12|Alabama, Tennessee
01560|Alabama|Russell|10|Alabama and Tennessee|12|Alabama, Tennessee
01570|Alabama|St. Clair|10|Alabama and Tennessee|12|Alabama, Tennessee
01580|Alabama|Shelby|10|Alabama and Tennessee|12|Alabama, Tennessee
01590|Alabama|Sumter|10|Alabama and Tennessee|12|Alabama, Tennessee
01600|Alabama|Talladega|10|Alabama and Tennessee|12|Alabama, Tennessee
01610|Alabama|Tallapoosa|10|Alabama and Tennessee|12|Alabama, Tennessee
01620|Alabama|Tuscaloosa|10|Alabama and Tennessee|12|Alabama, Tennessee
01630|Alabama|Walker|10|Alabama and Tennessee|12|Alabama, Tennessee
01640|Alabama|Washington|10|Alabama and Tennessee|12|Alabama, Tennessee
01650|Alabama|Wilcox|10|Alabama and Tennessee|12|Alabama, Tennessee
01660|Alabama|Winston|10|Alabama and Tennessee|12|Alabama, Tennessee
02013|Alaska|Aleutians East|26|Alaska|34|Alaska
02016|Alaska|Aleutians West|26|Alaska|34|Alaska
02020|Alaska|Anchorage|26|Alaska|34|Alaska
02030|Alaska|Angoon|26|Alaska|34|Alaska
02040|Alaska|Barrow-North Slope|26|Alaska|34|Alaska
02050|Alaska|Bethel|26|Alaska|34|Alaska
02060|Alaska|Bristol Bay|26|Alaska|34|Alaska
02063|Alaska|Chugach|26|Alaska|34|Alaska
02066|Alaska|Copper River|26|Alaska|34|Alaska
02068|Alaska|Denali|26|Alaska|34|Alaska
02070|Alaska|Dillingham|26|Alaska|34|Alaska
02080|Alaska|Cordova-McCarthy|26|Alaska|34|Alaska
02090|Alaska|Fairbanks North Star|26|Alaska|34|Alaska
02100|Alaska|Haines|26|Alaska|34|Alaska
02105|Alaska|Hoonah-Angoon|26|Alaska|34|Alaska
02110|Alaska|Juneau|26|Alaska|34|Alaska
02120|Alaska|Kenai-Cook Inlet|26|Alaska|34|Alaska
02122|Alaska|Kenai Peninsula|26|Alaska|34|Alaska
02130|Alaska|Ketchikan Gateway|26|Alaska|34|Alaska
02150|Alaska|Kodiak Island|26|Alaska|34|Alaska
02164|Alaska|Lake and Peninsula|26|Alaska|34|Alaska
02170|Alaska|Matanuska-Susitna|26|Alaska|34|Alaska
02180|Alaska|Nome|26|Alaska|34|Alaska
02185|Alaska|North Slope|26|Alaska|34|Alaska
02188|Alaska|Northwest Arctic|26|Alaska|34|Alaska
02195|Alaska|Petersburg|26|Alaska|34|Alaska
02198|Alaska|Prince of Wales-Outer Ketchikan|26|Alaska|34|Alaska
02201|Alaska|Prince of Wales-Outer Ketchikan|26|Alaska|34|Alaska
02220|Alaska|Sitka|26|Alaska|34|Alaska
02230|Alaska|Skagway|26|Alaska|34|Alaska
02232|Alaska|Skagway-Hoonah-Angoon|26|Alaska|34|Alaska
02240|Alaska|Southeast Fairbanks|26|Alaska|34|Alaska
02250|Alaska|Upper Yukon|26|Alaska|34|Alaska
02261|Alaska|Valdez-Cordova|26|Alaska|34|Alaska
02270|Alaska|Kusilvak|26|Alaska|34|Alaska
02275|Alaska|Wrangell|26|Alaska|34|Alaska
02280|Alaska|Wrangell-Petersburg|26|Alaska|34|Alaska
02282|Alaska|Yakutat|26|Alaska|34|Alaska
02290|Alaska|Yukon-Koyukuk|26|Alaska|34|Alaska
03000|Arizona|Apache|21|Arizona|28|Arizona
03010|Arizona|Cochise|21|Arizona|28|Arizona
03020|Arizona|Coconino|21|Arizona|28|Arizona
03030|Arizona|Gila|21|Arizona|28|Arizona
03040|Arizona|Graham|21|Arizona|28|Arizona
03050|Arizona|Greenlee|21|Arizona|28|Arizona
03055|Arizona|La Paz|21|Arizona|28|Arizona
03060|Arizona|Maricopa|21|Arizona|28|Arizona
03070|Arizona|Mohave|21|Arizona|28|Arizona
03080|Arizona|Navajo|21|Arizona|28|Arizona
03090|Arizona|Pima|21|Arizona|28|Arizona
03100|Arizona|Pinal|21|Arizona|28|Arizona
03110|Arizona|Santa Cruz|21|Arizona|28|Arizona
03120|Arizona|Yavapai|21|Arizona|28|Arizona
03130|Arizona|Yuma|21|Arizona|28|Arizona
04000|Arkansas|Arkansas|15|Arkansas and Missouri|19|Arkansas
04010|Arkansas|Ashley|15|Arkansas and Missouri|19|Arkansas
04020|Arkansas|Baxter|15|Arkansas and Missouri|19|Arkansas
04030|Arkansas|Benton|15|Arkansas and Missouri|19|Arkansas
04040|Arkansas|Boone|15|Arkansas and Missouri|19|Arkansas
04050|Arkansas|Bradley|15|Arkansas and Missouri|19|Arkansas
04060|Arkansas|Calhoun|15|Arkansas and Missouri|19|Arkansas
