CONTRACT_ID|PLAN_ID|FORMULARY_ID|RXCUI|CONTRACT_YEAR
H0074|001|00023318|1000001|2023
H0074|001|00023318|1299896|2023
H0074|001|00023318|1299897|2023
H0074|001|00023318|153822|2023
H0074|001|00023318|153823|2023
H0074|001|00023318|197884|2023
H0074|001|00023318|197885|2023
H0074|001|00023318|197886|2023
H0074|001|00023318|197887|2023
H0074|001|00023318|197903|2023
H0074|001|00023318|197904|2023
H0074|001|00023318|197905|2023
H0074|001|00023318|198188|2023
H0074|001|00023318|198189|2023
H0074|001|00023318|198211|2023
H0074|001|00023318|199149|2023
H0074|001|00023318|199150|2023
H0074|001|00023318|199245|2023
H0074|001|00023318|199246|2023
H0074|001|00023318|199247|2023
H0074|001|00023318|199351|2023
H0074|001|00023318|199352|2023
H0074|001|00023318|199353|2023
H0074|001|00023318|200094|2023
H0074|001|00023318|200095|2023
H0074|001|00023318|200096|2023
H0074|001|00023318|200132|2023
H0074|001|00023318|200256|2023
H0074|001|00023318|200257|2023
H0074|001|00023318|200258|2023
H0074|001|00023318|200284|2023
H0074|001|00023318|200285|2023
H0074|001|00023318|200345|2023
H0074|001|00023318|205304|2023
H0074|001|00023318|205305|2023
H0074|001|00023318|205326|2023
H0074|001|00023318|259255|2023
H0074|001|00023318|261962|2023
H0074|001|00023318|282755|2023
H0074|001|00023318|283316|2023
H0074|001|00023318|283317|2023
H0074|001|00023318|308962|2023
H0074|001|00023318|308963|2023
H0074|001|00023318|308964|2023
H0074|001|00023318|310404|2023
H0074|001|00023318|310405|2023
H0074|001|00023318|310488|2023
H0074|001|00023318|310489|2023
H0074|001|00023318|310490|2023
H0074|001|00023318|310792|2023
H0074|001|00023318|310793|2023
H0074|001|00023318|310796|2023
H0074|001|00023318|310797|2023
H0074|001|00023318|310809|2023
H0074|001|00023318|311353|2023
H0074|001|00023318|311354|2023
H0074|001|00023318|311919|2023
H0074|001|00023318|312440|2023
H0074|001|00023318|312441|2023
H0074|001|00023318|312748|2023
H0074|001|00023318|312749|2023
H0074|001|00023318|312750|2023
H0074|001|00023318|312961|2023
H0074|001|00023318|312962|2023
H0074|001|00023318|314006|2023
H0074|001|00023318|314076|2023
H0074|001|00023318|314077|2023
H0074|001|00023318|314142|2023
H0074|001|00023318|314203|2023
H0074|001|00023318|314231|2023
H0074|001|00023318|315107|2023
H0074|001|00023318|317173|2023
H0074|001|00023318|317573|2023
H0074|001|00023318|349199|2023
H0074|001|00023318|349200|2023
H0074|001|00023318|349201|2023
H0074|001|00023318|349353|2023
H0074|001|00023318|349373|2023
H0074|001|00023318|349401|2023
H0074|001|00023318|349405|2023
H0074|001|00023318|349483|2023
H0074|001|00023318|360507|2023
H0074|001|00023318|403853|2023
H0074|001|00023318|403854|2023
H0074|001|00023318|403855|2023
H0074|001|00023318|404011|2023
H0074|001|00023318|404013|2023
H0074|001|00023318|476345|2023
H0074|001|00023318|476349|2023
H0074|001|00023318|476350|2023
H0074|001|00023318|476351|2023
H0074|001|00023318|477130|2023
H0074|001|00023318|577776|2023
H0074|001|00023318|578325|2023
H0074|001|00023318|578330|2023
H0074|001|00023318|597967|2023
H0074|001|00023318|597971|2023
H0074|001|00023318|597974|2023
H0074|001|00023318|597977|2023
H0074|001|00023318|597980|2023
H0074|001|00023318|597984|2023
H0074|001|00023318|597987|2023
H0074|001|00023318|597990|2023
H0074|001|00023318|597993|2023
H0074|001|00023318|617310|2023
H0074|001|00023318|617311|2023
H0074|001|00023318|617312|2023
H0074|001|00023318|636042|2023
H0074|001|00023318|636045|2023
H0074|001|00023318|639537|2023
H0074|001|00023318|647237|2023
H0074|001|00023318|647239|2023
H0074|001|00023318|722126|2023
H0074|001|00023318|722131|2023
H0074|001|00023318|722134|2023
H0074|001|00023318|722137|2023
H0074|001|00023318|730861|2023
H0074|001|00023318|730866|2023
H0074|001|00023318|730869|2023
H0074|001|00023318|730872|2023
H0074|001|00023318|802749|2023
H0074|001|00023318|845488|2023
H0074|001|00023318|854925|2023
H0074|001|00023318|854984|2023
H0074|001|00023318|854988|2023
H0074|001|00023318|857166|2023
H0074|001|00023318|857169|2023
H0074|001|00023318|857174|2023
H0074|001|00023318|857183|2023
H0074|001|00023318|857187|2023
H0074|001|00023318|858804|2023
H0074|001|00023318|858810|2023
H0074|001|00023318|858813|2023
H0074|001|00023318|858817|2023
H0074|001|00023318|858824|2023
H0074|001|00023318|858828|2023
H0074|001|00023318|859419|2023
H0074|001|00023318|859424|2023
H0074|001|00023318|859747|2023
H0074|001|00023318|859751|2023
H0074|001|00023318|860975|2023
H0074|001|00023318|860981|2023
H0074|001|00023318|861004|2023
H0074|001|00023318|861007|2023
H0074|001|00023318|861010|2023
H0074|001|00023318|861731|2023
H0074|001|00023318|861736|2023
H0074|001|00023318|861740|2023
H0074|001|00023318|861783|2023
H0074|001|00023318|861822|2023
H0074|001|00023318|876514|2023
H0074|001|00023318|876519|2023
H0074|001|00023318|876524|2023
H0074|001|00023318|876529|2023
H0074|001|00023318|898342|2023
H0074|001|00023318|898346|2023
H0074|001|00023318|898350|2023
H0074|001|00023318|898353|2023
H0074|001|00023318|898356|2023
H0074|001|00023318|898359|2023
H0074|001|00023318|898362|2023
H0074|001|00023318|898367|2023
H0074|001|00023318|898372|2023
H0074|001|00023318|898378|2023
H0074|001|00023318|898687|2023
H0074|001|00023318|898690|2023
H0074|001|00023318|898719|2023
H0074|001|00023318|898723|2023
H0074|001|00023318|904458|2023
H0074|001|00023318|904467|2023
H0074|001|00023318|904475|2023
H0074|001|00023318|904481|2023
H0074|001|00023318|979464|2023
H0074|001|00023318|979468|2023
H0074|001|00023318|979471|2023
H0074|001|00023318|979480|2023
H0074|001|00023318|979485|2023
H0074|001|00023318|979492|2023
H0074|001|00023318|999967|2023
H0074|001|00023318|999986|2023
H0074|001|00023318|999991|2023
H0074|001|00023318|999996|2023
H0074|002|00023318|1000001|2023
H0074|002|00023318|1299896|2023
H0074|002|00023318|1299897|2023
H0074|002|00023318|153822|2023
H0074|002|00023318|153823|2023
H0074|002|00023318|197884|2023
H0074|002|00023318|197885|2023
H0074|002|00023318|197886|2023
H0074|002|00023318|197887|2023
H0074|002|00023318|197903|2023
H0074|002|00023318|197904|2023
H0074|002|00023318|197905|2023
H0074|002|00023318|198188|2023
H0074|002|00023318|198189|2023
H0074|002|00023318|198211|2023
H0074|002|00023318|199149|2023
H0074|002|00023318|199150|2023
H0074|002|00023318|199245|2023
H0074|002|00023318|199246|2023
H0074|002|00023318|199247|2023
H0074|002|00023318|199351|2023
H0074|002|00023318|199352|2023
H0074|002|00023318|199353|2023
H0074|002|00023318|200094|2023
H0074|002|00023318|200095|2023
H0074|002|00023318|200096|2023
H0074|002|00023318|200132|2023
H0074|002|00023318|200256|2023
H0074|002|00023318|200257|2023
H0074|002|00023318|200258|2023
H0074|002|00023318|200284|2023
H0074|002|00023318|200285|2023
H0074|002|00023318|200345|2023
H0074|002|00023318|205304|2023
H0074|002|00023318|205305|2023
H0074|002|00023318|205326|2023
H0074|002|00023318|259255|2023
H0074|002|00023318|261962|2023
H0074|002|00023318|282755|2023
H0074|002|00023318|283316|2023
H0074|002|00023318|283317|2023
H0074|002|00023318|308962|2023
H0074|002|00023318|308963|2023
H0074|002|00023318|308964|2023
H0074|002|00023318|310404|2023
H0074|002|00023318|310405|2023
H0074|002|00023318|310488|2023
H0074|002|00023318|310489|2023
H0074|002|00023318|310490|2023
H0074|002|00023318|310792|2023
H0074|002|00023318|310793|2023
H0074|002|00023318|310796|2023
H0074|002|00023318|310797|2023
H0074|002|00023318|310809|2023
H0074|002|00023318|311353|2023
H0074|002|00023318|311354|2023
H0074|002|00023318|311919|2023
H0074|002|00023318|312440|2023
H0074|002|00023318|312441|2023
H0074|002|00023318|312748|2023
H0074|002|00023318|312749|2023
H0074|002|00023318|312750|2023
H0074|002|00023318|312961|2023
H0074|002|00023318|312962|2023
H0074|002|00023318|314006|2023
H0074|002|00023318|314076|2023
H0074|002|00023318|314077|2023
H0074|002|00023318|314142|2023
H0074|002|00023318|314203|2023
H0074|002|00023318|314231|2023
H0074|002|00023318|315107|2023
H0074|002|00023318|317173|2023
H0074|002|00023318|317573|2023
H0074|002|00023318|349199|2023
H0074|002|00023318|349200|2023
H0074|002|00023318|349201|2023
H0074|002|00023318|349353|2023
H0074|002|00023318|349373|2023
H0074|002|00023318|349401|2023
H0074|002|00023318|349405|2023
H0074|002|00023318|349483|2023
H0074|002|00023318|360507|2023
H0074|002|00023318|403853|2023
H0074|002|00023318|403854|2023
H0074|002|00023318|403855|2023
H0074|002|00023318|404011|2023
H0074|002|00023318|404013|2023
H0074|002|00023318|476345|2023
H0074|002|00023318|476349|2023
H0074|002|00023318|476350|2023
H0074|002|00023318|476351|2023
H0074|002|00023318|477130|2023
H0074|002|00023318|577776|2023
H0074|002|00023318|578325|2023
H0074|002|00023318|578330|2023
H0074|002|00023318|597967|2023
H0074|002|00023318|597971|2023
H0074|002|00023318|597974|2023
H0074|002|00023318|597977|2023
H0074|002|00023318|597980|2023
H0074|002|00023318|597984|2023
H0074|002|00023318|597987|2023
H0074|002|00023318|597990|2023
H0074|002|00023318|597993|2023
H0074|002|00023318|617310|2023
H0074|002|00023318|617311|2023
H0074|002|00023318|617312|2023
H0074|002|00023318|636042|2023
H0074|002|00023318|636045|2023
H0074|002|00023318|639537|2023
H0074|002|00023318|647237|2023
H0074|002|00023318|647239|2023
H0074|002|00023318|722126|2023
H0074|002|00023318|722131|2023
H0074|002|00023318|722134|2023
H0074|002|00023318|722137|2023
H0074|002|00023318|730861|2023
H0074|002|00023318|730866|2023
H0074|002|00023318|730869|2023
H0074|002|00023318|730872|2023
H0074|002|00023318|802749|2023
H0074|002|00023318|845488|2023
H0074|002|00023318|854925|2023
H0074|002|00023318|854984|2023
H0074|002|00023318|854988|2023
H0074|002|00023318|857166|2023
H0074|002|00023318|857169|2023
H0074|002|00023318|857174|2023
H0074|002|00023318|857183|2023
H0074|002|00023318|857187|2023
H0074|002|00023318|858804|2023
H0074|002|00023318|858810|2023
H0074|002|00023318|858813|2023
H0074|002|00023318|858817|2023
H0074|002|00023318|858824|2023
H0074|002|00023318|858828|2023
H0074|002|00023318|859419|2023
H0074|002|00023318|859424|2023
H0074|002|00023318|859747|2023
H0074|002|00023318|859751|2023
H0074|002|00023318|860975|2023
H0074|002|00023318|860981|2023
H0074|002|00023318|861004|2023
H0074|002|00023318|861007|2023
H0074|002|00023318|861010|2023
H0074|002|00023318|861731|2023
H0074|002|00023318|861736|2023
H0074|002|00023318|861740|2023
H0074|002|00023318|861783|2023
H0074|002|00023318|861822|2023
H0074|002|00023318|876514|2023
H0074|002|00023318|876519|2023
H0074|002|00023318|876524|2023
H0074|002|00023318|876529|2023
H0074|002|00023318|898342|2023
H0074|002|00023318|898346|2023
H0074|002|00023318|898350|2023
H0074|002|00023318|898353|2023
H0074|002|00023318|898356|2023
H0074|002|00023318|898359|2023
H0074|002|00023318|898362|2023
H0074|002|00023318|898367|2023
H0074|002|00023318|898372|2023
H0074|002|00023318|898378|2023
H0074|002|00023318|898687|2023
H0074|002|00023318|898690|2023
H0074|002|00023318|898719|2023
H0074|002|00023318|898723|2023
H0074|002|00023318|904458|2023
H0074|002|00023318|904467|2023
H0074|002|00023318|904475|2023
H0074|002|00023318|904481|2023
H0074|002|00023318|979464|2023
H0074|002|00023318|979468|2023
H0074|002|00023318|979471|2023
H0074|002|00023318|979480|2023
H0074|002|00023318|979485|2023
H0074|002|00023318|979492|2023
H0074|002|00023318|999967|2023
H0074|002|00023318|999986|2023
H0074|002|00023318|999991|2023
H0074|002|00023318|999996|2023
H0088|002|00023318|1000001|2023
H0088|002|00023318|1299896|2023
H0088|002|00023318|1299897|2023
H0088|002|00023318|153822|2023
H0088|002|00023318|153823|2023
H0088|002|00023318|197884|2023
H0088|002|00023318|197885|2023
H0088|002|00023318|197886|2023
H0088|002|00023318|197887|2023
H0088|002|00023318|197903|2023
H0088|002|00023318|197904|2023
H0088|002|00023318|197905|2023
H0088|002|00023318|198188|2023
H0088|002|00023318|198189|2023
H0088|002|00023318|198211|2023
H0088|002|00023318|199149|2023
H0088|002|00023318|199150|2023
H0088|002|00023318|199245|2023
H0088|002|00023318|199246|2023
H0088|002|00023318|199247|2023
H0088|002|00023318|199351|2023
H0088|002|00023318|199352|2023
H0088|002|00023318|199353|2023
H0088|002|00023318|200094|2023
H0088|002|00023318|200095|2023
H0088|002|00023318|200096|2023
H0088|002|00023318|200132|2023
H0088|002|00023318|200256|2023
