CONTRACT_ID|PLAN_ID|SEGMENT_ID|RXCUI|COPAY
H0028|014|000|213442|35
H0028|014|000|285018|35
H0028|014|000|311027|35
H0028|014|000|311033|35
H0028|014|000|351926|35
H0028|014|000|616238|35
H0028|014|000|847232|35
H0028|014|000|847241|35
H0028|014|000|977840|35
H0028|014|000|977842|35
H0028|014|000|1604544|35
H0028|014|000|1653198|35
H0028|014|000|1653204|35
H0028|014|000|1670016|35
H0028|014|000|1670023|35
H0028|014|000|1859000|35
H0028|014|000|1860172|35
H0028|014|000|1986354|35
H0028|014|000|1986356|35
H0028|014|000|2002420|35
H0028|014|000|2049380|35
H0028|014|000|2107522|35
H0028|014|000|2205454|35
H0028|014|000|2206092|35
H0028|014|000|2206099|35
H0028|016|000|213442|35
H0028|016|000|285018|35
H0028|016|000|311027|35
H0028|016|000|311033|35
H0028|016|000|351926|35
H0028|016|000|616238|35
H0028|016|000|847232|35
H0028|016|000|847241|35
H0028|016|000|977840|35
H0028|016|000|977842|35
H0028|016|000|1604544|35
H0028|016|000|1653198|35
H0028|016|000|1653204|35
H0028|016|000|1670016|35
H0028|016|000|1670023|35
H0028|016|000|1859000|35
H0028|016|000|1860172|35
H0028|016|000|1986354|35
H0028|016|000|1986356|35
H0028|016|000|2002420|35
H0028|016|000|2049380|35
H0028|016|000|2107522|35
H0028|016|000|2205454|35
H0028|016|000|2206092|35
H0028|016|000|2206099|35
H0028|017|000|213442|35
H0028|017|000|285018|35
H0028|017|000|311027|35
H0028|017|000|311033|35
H0028|017|000|351926|35
H0028|017|000|616238|35
H0028|017|000|847232|35
H0028|017|000|847241|35
H0028|017|000|977840|35
H0028|017|000|977842|35
H0028|017|000|1604544|35
H0028|017|000|1653198|35
H0028|017|000|1653204|35
H0028|017|000|1670016|35
H0028|017|000|1670023|35
H0028|017|000|1859000|35
H0028|017|000|1860172|35
H0028|017|000|1986354|35
H0028|017|000|1986356|35
H0028|017|000|2002420|35
H0028|017|000|2049380|35
H0028|017|000|2107522|35
H0028|017|000|2205454|35
H0028|017|000|2206092|35
H0028|017|000|2206099|35
H0028|019|000|213442|35
H0028|019|000|285018|35
H0028|019|000|311027|35
H0028|019|000|311033|35
H0028|019|000|351926|35
H0028|019|000|616238|35
H0028|019|000|847232|35
H0028|019|000|847241|35
H0028|019|000|977840|35
H0028|019|000|977842|35
H0028|019|000|1604544|35
H0028|019|000|1653198|35
H0028|019|000|1653204|35
H0028|019|000|1670016|35
H0028|019|000|1670023|35
H0028|019|000|1859000|35
H0028|019|000|1860172|35
H0028|019|000|1986354|35
H0028|019|000|1986356|35
H0028|019|000|2002420|35
H0028|019|000|2049380|35
H0028|019|000|2107522|35
H0028|019|000|2205454|35
H0028|019|000|2206092|35
H0028|019|000|2206099|35
H0028|021|000|213442|35
H0028|021|000|285018|35
H0028|021|000|311027|35
H0028|021|000|311033|35
H0028|021|000|351926|35
H0028|021|000|616238|35
H0028|021|000|847232|35
H0028|021|000|847241|35
H0028|021|000|977840|35
H0028|021|000|977842|35
H0028|021|000|1604544|35
H0028|021|000|1653198|35
H0028|021|000|1653204|35
H0028|021|000|1670016|35
H0028|021|000|1670023|35
H0028|021|000|1859000|35
H0028|021|000|1860172|35
H0028|021|000|1986354|35
H0028|021|000|1986356|35
H0028|021|000|2002420|35
H0028|021|000|2049380|35
H0028|021|000|2107522|35
H0028|021|000|2205454|35
H0028|021|000|2206092|35
H0028|021|000|2206099|35
H0028|023|000|213442|35
H0028|023|000|285018|35
H0028|023|000|311027|35
H0028|023|000|311033|35
H0028|023|000|351926|35
H0028|023|000|616238|35
H0028|023|000|847232|35
H0028|023|000|847241|35
H0028|023|000|977840|35
H0028|023|000|977842|35
H0028|023|000|1604544|35
H0028|023|000|1653198|35
H0028|023|000|1653204|35
